_id,ID_EQ_SAUDE,CATEGORIA,SIGLA_CATEGORIA,NOME,TIPO_LOGRADOURO,LOGRADOURO,NUMERO_IMOVEL,TELEFONE,NOME_BAIRRO_POPULAR,GEOMETRIA
235,180,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA PINHO,RUA,OTAVIANO DE CARVALHO,174,"32775856, 32775857",VILA PINHO,POINT (601864.795455703 7788134.61505184)
236,322,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MG-20,RUA,PADRE ARGEMIRO MOREIRA,11900,"32776732, 32776735, 32776739",MARIA TERESA,POINT (616846.735810848 7808454.86890751)
237,685,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE ANDRADAS CREAB,RUA,ELCE RIBEIRO,349,,SÃO JOÃO BATISTA,POINT (608561.916844574 7808128.16378834)
238,523,CENTRO DE REABILITACAO,CREAB,CENTRO DE REABILITAÇÃO DE VENDA NOVA,RUA,ELCE RIBEIRO,349,,SÃO JOÃO BATISTA,POINT (608551.493699736 7808135.96755156)
239,962,ANEXO DO CENTRO DE SAUDE,ANEXO CS,ANEXO DO CENTRO DE SAUDE NOVA YORK,RUA,JAIR NEGRAO DE LIMA,1058,,JARDIM DOS COMERCIÁRIOS,POINT (607334.688493817 7810481.46363852)
240,193,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PAULO VI - MARIVANDA BALEEIRO,RUA,TRES MIL E SETENTA E QUATRO,555,"32777494, 32777495, 32771319",PAULO VI,POINT (616348.239269663 7805626.43789786)
241,297,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA MARIA - JOAO VITAL,RUA,DOIS MIL QUATROCENTOS E SESSENTA E SEIS,30,"32468036, 32468037, 32777937",JARDIM VITÓRIA,POINT (617365.227306099 7805407.51696275)
242,213,CENTRO DE SAUDE,CS,CENTRO DE SAUDE TUPI,RUA,JORGE AMADO,91,"32776772, 32776773, 32778555",TUPI A,POINT (612814.526656557 7806322.40889401)
243,412,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE LINDEIA,RUA,DAS PETUNIAS,547,,LINDÉIA,POINT (599209.521075658 7791092.62667419)
244,345,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM MONTANHES,RUA,LEOPOLDO PEREIRA,407,"32777212, 32777213, 32778389",JARDIM MONTANHÊS,POINT (606586.162678546 7798813.94502222)
245,581,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA MONICA II - ALAMEDA DOS IPES,RUA,MINISTRO OLIVEIRA SALAZAR,1186,"32469023, 32779024",SANTA MÔNICA,POINT (607465.42891727 7808348.64098606)
246,501,CENTRO DE SAUDE,CS,CENTRO DE SAUDE BONSUCESSO,RUA,DOUTOR CRISTIANO REZENDE,1875,"32773192, 32778931, 32779069",BONSUCESSO,POINT (605782.027942803 7789622.52590894)
247,459,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE MONTE AZUL,RUA,PROFESSOR CARLOS DE ALMEIDA,105,,MONTE AZUL,POINT (615812.272944421 7808298.3145063)
248,200,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE UNIAO,RUA,PROFESSOR GERALDO FONTES,30,,UNIÃO,POINT (613046.888880414 7801338.44116835)
249,535,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE CENTRO DIA DO IDOSO,AVE,SANTA MATILDE,325,,DOM CABRAL,POINT (604714.018401746 7796617.37234837)
250,255,CENTRO DE SAUDE,CS,CENTRO DE SAUDE DOM JOAQUIM,AVE,JOAQUIM JOSE DINIZ,200,"32775701, 32775707, 32779021",FERNÃO DIAS,POINT (613482.665259768 7801939.42883905)
251,1082,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE PAULO VI,RUA,NEBLINA,120,32776685,CONJUNTO PAULO VI,POINT (616501.236946216 7806677.05912556)
252,197,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CAPITAO EDUARDO,RUA,DOS MENSAGEIROS,10,"32777846, 32777847, 32778016",CONJUNTO CAPITÃO EDUARDO,POINT (618570.88717026 7806860.01726754)
253,311,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE LABORATORIO DO MOVIMENTO,AVE,PROFESSOR ALFREDO BALENA,190,,SANTA EFIGÊNIA,POINT (612073.838024268 7796480.01008791)
254,387,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO GABRIEL - FABIO CORREA LIMA,RUA,ILHA DE MALTA,353,"32776744, 32776745, 32468010",SÃO GABRIEL,POINT (613694.055724139 7803991.66111312)
255,327,CENTRAL DE ESTERILIZACAO,CEST,CENTRAL DE ESTERILIZACAO VENDA NOVA,RUA,JOSE ROCHA PAIXAO,10,,CÉU AZUL,POINT (604107.305212136 7808043.40639211)
256,504,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA LUCIA,RUA,MURILLO MORAES DE ANDRADE,140,"32778885, 32778883",SANTO ANTÔNIO,POINT (610232.565730511 7793641.44786902)
257,203,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CONJUNTO SANTA MARIA,RUA,PASTOR BENJAMIM MAIA,57,32778822,ÁPIA,POINT (609401.211462747 7793436.10966502)
258,338,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA CECILIA,RUA,PAULO DUARTE,280,"32775852, 32775853, 32779070",SANTA CECÍLIA,POINT (601187.303321735 7788269.82124805)
259,525,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE MARIANO DE ABREU,RUA,CINCO DE JANEIRO,139,,MARIANO DE ABREU,POINT (616183.327691895 7799712.31216219)
260,403,DISTRITO SANITARIO,DS,DISTRITO SANITARIO CENTRO SUL,AVE,AUGUSTO DE LIMA,30,,CENTRO,POINT (611289.699460943 7796508.26433684)
261,507,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE VIA 240,AVE,RISOLETA NEVES,2400,,GUARANI,POINT (613560.855428896 7805142.30322653)
262,215,CENTRAL DE ESTERILIZACAO,CEST,CENTRAL DE ESTERILIZACAO NORTE,AVE,RISOLETA NEVES,2580,,GUARANI,POINT (613675.98792073 7805235.71561048)
263,509,UNIDADE DE PRONTO ATENDIMENTO,UPA,UNIDADE DE PRONTO ATENDIMENTO NORTE,AVE,RISOLETA NEVES,2580,,GUARANI,POINT (613675.780266803 7805234.73191929)
264,359,CENTRO DE SAUDE,CS,CENTRO DE SAUDE DOM ORIONE,AVE,OTACILIO NEGRAO DE LIMA,2220,"32777860, 32777861",SÃO LUÍZ,POINT (607309.001492522 7803657.58902174)
265,901,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,INSTITUTO DE PROMOCAO HUMANA DARCY RIBEIRO CASA DE BEBES,AVE,OTACILIO NEGRAO DE LIMA,16950,32777945,JARDIM ATLÂNTICO,POINT (607596.259645626 7804807.08779279)
266,342,CENTRO DE SAUDE,CS,CENTRO DE SAUDE CONFISCO,RUA,POLYCARPO DE MAGALHAES VIOTTI,261,"32777202, 32777267, 32778501",BANDEIRANTES,POINT (604423.657922073 7803276.97994811)
267,356,DISTRITO SANITARIO,DS,DISTRITO SANITARIO OESTE,AVE,SILVA LOBO,1280,,NOVA GRANADA,POINT (607677.376483453 7795303.57954694)
268,452,CENTRO DE SAUDE,CS,CENTRO DE SAUDE AARAO REIS,RUA,WALDOMIRO LOBO,177,"32776781, 32777463",AARÃO REIS,POINT (613007.157353595 7805202.7417717)
269,295,CENTRO DE SAUDE,CS,CENTRO DE SAUDE OURO PRETO,RUA,JONAS JEAN,77,"32778560, 32777133, 32777108, 32778331",OURO PRETO,POINT (605987.473153437 7800921.33606888)
270,1262,CENTRO DE REFERENCIA EM SAUDE MENTAL,CERSAM,CENTRO DE REFERENCIA EM SAUDE MENTAL PARA A INFANCIA E ADOLESCENCIA PAMPULHA NOROESTE,AVE,JOAO XXIII,1253,,VILA JARDIM SÃO JOSÉ,POINT (605365.094102949 7799184.74721396)
271,461,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PADRE TIAGO,AVE,JOAO XXIII,1233,"32463022, 32778976, 32778942",VILA JARDIM SÃO JOSÉ,POINT (605302.424901016 7799200.72629401)
272,390,CENTRO DE TESTAGEM E ACONSELHAMENTO,CTA,CENTRO DE TESTAGEM E ACONSELHAMENTO SAE CENTRO SUL,RUA,DOS CAETES,466,,CENTRO,POINT (611125.490181577 7797412.92133978)
273,417,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO MIGUEL ARCANJO,RUA,NOSSA SENHORA DE FATIMA,2640,"32776412, 32776413",NOSSA SENHORA DE FÁTIMA,POINT (614865.147022741 7795372.62549283)
274,380,ANEXO DO CENTRO DE SAUDE,ANEXO CS,ANEXO DO CENTRO DE SAUDE CAFEZAL,RUA,ENGENHEIRO LUCAS JULIO PROENCA,22,,SERRA,POINT (613847.36246129 7794984.5444856)
275,348,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM GUANABARA,RUA,FANNY MARTINS DE BARROS,221,"32776786, 32776787, 32777485",JARDIM GUANABARA,POINT (611757.271815902 7807143.47956961)
276,286,CENTRO DE SAUDE,CS,CENTRO DE SAUDE POMPEIA,RUA,LEOPOLDO GOMES,440,"32775720, 32775764",POMPÉIA,POINT (614676.407892651 7797826.37603902)
277,212,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA RITA DE CASSIA,RUA,CRISTINA,961,32778827,SÃO PEDRO,POINT (611043.231174936 7794088.36689995)
278,227,CENTRO DE ESTERILIZACAO DE CAES E GATOS,CECG,CENTRO DE ESTERILIZACAO DE CAES E GATOS NOROESTE,RUA,ANTONIO PEIXOTO GUIMARAES,33,,MONSENHOR MESSIAS,POINT (607372.824470226 7797898.30139882)
279,1002,CENTRO DE REFERENCIA EM SAUDE MENTAL,CERSAM,CENTRO DE REFERENCIA EM SAUDE MENTAL ALCOOL E DROGAS VENDA NOVA,PCA,JOSE BELEM BARBOSA,60,,SÃO JOÃO BATISTA,POINT (608563.949988789 7807367.70631835)
280,841,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,UNIDADE DE ACOLHIMENTO TRANSITORIO INFANTIL,RUA,EDSON,525,25520641,UNIÃO,POINT (612960.245803807 7801516.86058695)
281,463,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE JARDIM FELICIDADE,RUA,CECILIA TRINDADE SILVA,10,,JARDIM FELICIDADE,POINT (612188.224376342 7806899.40924941)
282,522,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM FELICIDADE,RUA,CECILIA TRINDADE SILVA,201,"32776766, 32776767, 32776788",JARDIM FELICIDADE,POINT (612296.467574415 7806993.41011581)
