ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
1983384,CRECHE DONA QUITA TOLENTINO - UNIDADE II,Creches Conveniadas,31378054,AVENIDA,AMERICO VESPUCIO,1580,,Nova Esperança,NOROESTE,POINT (608710.575392355 7799501.90921529)
1981963,ESCOLA MUNICIPAL HERBERT JOSE DE SOUZA,Municipal,31312622,AVENIDA,DETETIVE EDUARDO FERNANDES,320,,Novo Aarão Reis,NORTE,POINT (614376.663206648 7805779.98710455)
1983166,EMEI CALIFÓRNIA II,EMEIS,31366080,RUA,CHRISTINA MARIA ASSIS,550,,Califórnia,NOROESTE,POINT (603012.339548074 7796244.64799518)
1982153,CRECHE COMUNITÁRIA EUNICE LANZA,Creches Conveniadas,31289957,BECO,PRINCIPAL,183,,Vila Coqueiral,NOROESTE,POINT (602071.513451437 7797556.29101405)
1981766,CRECHE COMUNITÁRIA CRIANÇA FELIZ,Creches Conveniadas,31308471,RUA,QUATORZE,40,,Bernadete,BARREIRO,POINT (606209.418298507 7789811.2774891)
1982530,INSTITUTO DE EDUCAÇÃO CRIANÇA FELIZ,Creches Conveniadas,31356867,RUA,FLOR DO NORTE,255,,Jardim Alvorada,PAMPULHA,POINT (605637.362850474 7799618.04135074)
1981829,ESCOLA MUNICIPAL IMACO,Municipal,31003441,RUA,GONCALVES DIAS,1180,,Boa Viagem,CENTRO-SUL,POINT (611365.017002742 7795765.12560057)
1982081,INSTITUTO CRISTÃO CALVÁRIO - ICC,Creches Conveniadas,31351768,RUA,DOS SALESIANOS,538,,São Bernardo,NORTE,POINT (610275.402891629 7805521.16978606)
1983160,EMEI VILA ANTENA,EMEIS,31357910,RUA,FLOR DO ORIENTE,137,,Vila Antena Montanhês,PAMPULHA,POINT (606211.793101665 7799658.7230701)
1982092,CRECHE SANTA LUZIA,Creches Conveniadas,31282421,RUA,OZANAM,308,,Ipiranga,NORDESTE,POINT (611687.973740438 7801171.97505204)
1982093,CRECHE ODETE VALADARES,Creches Conveniadas,31282375,RUA,OZANAM,732,,Ipiranga,NORDESTE,POINT (611915.921860156 7800872.69596943)
1983381,BALÃO AMARELO,Creches Conveniadas,31376167,RUA,BEATRIZ,227,,Rio Branco,VENDA NOVA,POINT (606161.389385681 7808919.11797621)
1982070,OBRAS EDUCATIVAS JARDIM FELICIDADE,Creches Conveniadas,31289906,RUA,PROFESSORA GABRIELA VARELA,580,,Jardim Felicidade,NORTE,POINT (611884.447472478 7806857.80771729)
1983405,INSTITUTO CRESCER ESTRELA DA MANHÃ,Creches Conveniadas,31377988,RUA,SERRA DO CIPO,90,,Ribeiro de Abreu,NORDESTE,POINT (615259.873878177 7807477.52754365)
1983385,CRECHE FRE,Creches Conveniadas,31371793,RUA,DAS GUITARRAS,72,,Conjunto Califórnia I,NOROESTE,POINT (603841.163097452 7796895.93640764)
1983343,ESCOLA MUNICIPAL MURILO RUBIAO,Municipal,31217883,RUA,UM,10,,Acaiaca,NORDESTE,POINT (615563.610775168 7805008.74681248)
1981960,ESCOLA MUNICIPAL AURELIO PIRES,Municipal,31003115,RUA,BARRINHA,171,,Indaiá,PAMPULHA,POINT (609692.471174969 7803101.07238987)
1983085,EMEI SOLAR URUCUIA,EMEIS,31357324,RUA,NELSON DE PAULA PIRES,411,,Pongelupe,BARREIRO,POINT (603620.800398673 7787109.34745912)
1983133,EMEI ALAÍDE LISBOA,EMEIS,31357979,AVENIDA,PRESIDENTE ANTONIO CARLOS,6627,,Campus UFMG,PAMPULHA,POINT (609242.981956552 7802765.07078202)
1982518,CRECHE SEMENTES DO AMANHÃ,Creches Conveniadas,31281981,AVENIDA,PRESIDENTE ANTONIO CARLOS,3800,,São Francisco,PAMPULHA,POINT (609650.071043599 7801860.78484681)
1983136,EMEI GAMELEIRA,EMEIS,31357898,AVENIDA,AMAZONAS,5855,,Gameleira,OESTE,POINT (606154.632909005 7795755.38758272)
1982523,ASSOCIAÇÃO ASSISTENCIAL SÃO TIAGO,Creches Conveniadas,31303755,RUA,URUCANIA,115,,Jardim São José,PAMPULHA,POINT (605428.800710696 7798783.39124135)
1981752,ESCOLA MUNICIPAL PEDRO ALEIXO,Municipal,31002933,AVENIDA,MENELICK DE CARVALHO,255,,Araguaia,BARREIRO,POINT (604398.177369676 7788874.84809659)
1982052,CENTRO INFANTIL TRANSFORMAR,Creches Conveniadas,31303704,AVENIDA,SILVIANO BRANDAO,2513,,Horto,LESTE,POINT (613630.422543707 7798264.51685673)
1982171,ESCOLA MUNICIPAL ANA ALVES TEIXEIRA,Municipal,31002917,RUA,BARAO DO MONTE ALTO,300,,Cardoso,BARREIRO,POINT (603910.031633199 7788311.13283919)
1983127,EMEI PITUCHINHA,EMEIS,31357731,RUA,MARQUES DE LAVRADIO,619,,João Pinheiro,NOROESTE,POINT (604368.360396702 7796069.52364124)
1982534,CRECHE BENEDITA HILÍDIA DA SILVA RESENDE,Creches Conveniadas,31290122,RUA,IZALINA FAUSTINA SILVEIRA,115,,Mantiqueira,VENDA NOVA,POINT (606295.249291784 7810601.68566178)
1983441,INSTITUTO ONCINHA PINTADA,Creches Conveniadas,31380520,RUA,RAIMUNDA LOPES BARROSO,15,,Floramar,NORTE,POINT (611294.87099568 7806535.25490437)
1982985,CRECHE COMUNITARIA CRESCER  COM AMOR,Creches Conveniadas,31308811,BECO,DA PEDREIRA,35,,Cabana do Pai Tomás,OESTE,POINT (605083.176147031 7793461.06458552)
1982200,CRECHE COMUNITÁRIA MARIA FLORIPES,Creches Conveniadas,31281301,AVENIDA,FLOR DE SEDA,1188,,Lindéia,BARREIRO,POINT (599742.177879645 7790370.03375588)
1982159,ABRIGO DE PAZ,Creches Conveniadas,31229750,RUA,ARTICA,200,,Caiçara-Adelaide,NOROESTE,POINT (607269.751416526 7798756.81665053)
1981884,ESCOLA MUNICIPAL PROFESSORA ELEONORA PIERUCCETTI,Municipal,31003247,AVENIDA,BERNARDO DE VASCONCELOS,288,,Cachoeirinha,NORDESTE,POINT (610116.761093218 7800857.06915023)
1983165,EMEI MARFIM,EMEIS,31362050,RUA,ASSUMAR,375,,Pindorama,NOROESTE,POINT (602206.176334634 7798514.40599252)
1981785,ESCOLA MUNICIPAL PADRE MARZANO MATIAS,Municipal,31294641,RUA,ERICO VERISSIMO,1280,,Rio Branco,VENDA NOVA,POINT (607384.418127306 7808644.74399159)
1982212,INSTITUTO ESPIRITA EURIPEDES,Creches Conveniadas,31281972,RUA,TABOAO DA SERRA,235,,Itaipu,BARREIRO,POINT (599399.513574082 7788800.34326183)
1982082,CRECHE DORA RIBEIRO,Creches Conveniadas,31290017,RUA,BERTOPOLIS,449,,Conjunto Providência,NORTE,POINT (612491.861100853 7804371.15386847)
1982709,MUNDO CRIANÇA,Creches Conveniadas,31365785,RUA,PORTO SEGURO,505,,Nova Vista,LESTE,POINT (614912.626594198 7800684.97417966)
1983159,EMEI COQUEIRO VERDE,EMEIS,31357618,RUA,DAS ALMAS,1200,,Conjunto Paulo VI,NORDESTE,POINT (617094.996483102 7806542.40191722)
1982034,ESCOLA MUNICIPAL SOBRAL PINTO,Municipal,31219550,RUA,DAS ALMAS,1120,,Conjunto Paulo VI,NORDESTE,POINT (616955.369601638 7806622.90553095)
1981858,ESCOLA MUNICIPAL GOVERNADOR OZANAM COELHO,Municipal,31224111,RUA,ANGELA BENAREGES,166,,Conjunto Capitão Eduardo,NORDESTE,POINT (618552.309283062 7806911.51678496)
1981808,ESCOLA MUNICIPAL ANTONIA FERREIRA,Municipal,31003476,RUA,JOAO GUALBERTO DE ABREU,10,,São João Batista,VENDA NOVA,POINT (608664.272112172 7808237.85681229)
1982986,CRECHE VIRGILIO PEDRO DE  ALMEIDA,Creches Conveniadas,31290068,RUA,QUARENTA E TRES,43,,Novo Aarão Reis,NORTE,POINT (614265.253604365 7805900.7225292)
1982529,CENTRO DE EDUCAÇÃO INFANTIL PROFESSORA MARIA LÚCIA HANNAS,Creches Conveniadas,31356417,RUA,QUITO,53,,Trevo,PAMPULHA,POINT (603659.481654266 7805868.50908615)
1981729,ESCOLA MUNICIPAL PROFESSORA ALCIDA TORRES,Municipal,31003093,RUA,ALVARO FERNANDES,144,,Taquaril,LESTE,POINT (616777.935524078 7797380.04688803)
1981874,ESCOLA MUNICIPAL PEDRO NAVA,Municipal,31231975,RUA,SAO PEDRO DA ALDEIA,445,,Serra do Curral,BARREIRO,POINT (608100.635671165 7788238.31766051)
