co_municipio,co_area,seq_equipe,co_profissional_sus,co_unidade,co_cbo,tp_sus_nao_sus,ind_vinculacao,co_microarea,dt_entrada,dt_desligamento,co_cnes_outraequipe,co_municipio_outraequipe,co_area_outraequipe,co_profissional_sus_compl,co_cbo_ch_compl,st_equipeminima,co_mun_atuacao,to_char_dt_atualizacao_dd_mm_yyyy,no_usuario,to_char_dt_atualizacao_origem_dd_mm_yyyy
310620,844,223999,5CF39B8465C0195B,3106200022543,223565,S,10101,,02/08/2021,"",,,,"",,1,,04/08/2021,SMSAS,
310620,784,224057,89AEC040E31AC416,3106200022551,515105,S,10202,,03/02/2022,"",,,,"",,1,,04/02/2022,SMSAS,
310620,577,224235,9D16871A3475997B,3106200022551,515105,S,10202,,02/02/2022,"",,,,"",,1,,07/02/2022,SMSAS,
310620,577,224235,A04808CE39C864BE,3106200022551,515105,S,10202,,01/12/2021,"",,,,"",,1,,17/12/2021,SMSAS,
310620,577,224235,199B8096522498E7,3106200022551,515105,S,10202,,01/12/2021,"",,,,"",,1,,17/12/2021,SMSAS,
310620,577,224235,63ADF3821A7A0342,3106200022551,515105,S,10202,,01/12/2021,"",,,,"",,1,,17/12/2021,SMSAS,
310620,3,1781502,A2D93D06F9B03CBF,3106200022551,223293,S,10301,,05/08/2022,"",,,,"",,1,,10/08/2022,SMSAS,
310620,783,224073,E717B80AE922DF81,3106200022551,225170,S,10101,,09/08/2022,"",,,,"",,1,,09/08/2022,SMSAS,
310620,3,1781502,3CEA5B2C317605A2,3106200022551,322425,S,10101,,25/05/2020,"",,,,"",,1,,26/05/2020,SMSAS,
310620,1,1645331,64B7CDCE23010DD8,3106200022551,223405,S,10101,,16/01/2018,"",,,,"",,1,,19/01/2018,SMSAS,
310620,1,1645331,DCC6E69962B8390F,3106200022551,224140,S,10301,,30/03/2021,"",,,,"",,1,,20/04/2021,SMSAS,
310620,1,1645331,080658E3E29BF077,3106200022551,223605,S,10101,,01/05/2018,"",,,,"",,1,,23/05/2018,GERGETRB,
310620,1,1645331,2079A2F57110FA23,3106200022551,223905,S,10301,,20/10/2020,19/10/2022,,,,"",,1,,24/10/2022,SMSAS,
310620,1,1645331,6E2533D2BF944381,3106200022551,223810,S,10301,,22/09/2022,"",,,,"",,1,,28/09/2022,SMSAS,
310620,1,1781480,52CD1B83D7EF7531,3106200022551,322430,S,10101,,25/05/2020,"",,,,"",,1,,26/05/2020,SMSAS,
310620,1,1781480,622F60F2783B0C24,3106200022551,322425,S,10101,,25/05/2020,"",,,,"",,1,,26/05/2020,SMSAS,
310620,1,1781480,3F2220408257F9B7,3106200022551,223293,S,10301,,12/04/2021,"",,,,"",,1,,19/04/2021,SMSAS,
310620,921,224065,87BB19628D7D2127,3106200022551,515105,S,10202,,03/08/2015,"",,,,"",,1,,03/08/2015,PRPS001144,
310620,921,224065,6E631C168B95FD06,3106200022551,515105,S,10202,,03/08/2015,"",,,,"",,1,,22/08/2018,GERGETRB,
310620,921,224065,EFBBCD336482AB74,3106200022551,515105,S,10202,,03/08/2015,"",,,,"",,1,,22/08/2018,GERGETRB,
310620,921,224065,AE52C8DD71A842F3,3106200022551,225142,S,10101,,16/09/2015,"",,,,"",,1,,22/09/2015,PRPS001144,
310620,921,224065,450E4770F9C000CF,3106200022551,515105,S,10202,,03/08/2015,"",,,,"",,1,,03/08/2015,PRPS001144,
310620,921,224065,8873C08F95B957B1,3106200022551,223565,S,10101,,03/08/2015,"",,,,"",,1,,03/08/2015,PRPS001144,
310620,921,224065,4C9E80FD21F20910,3106200022551,322250,S,10101,,08/08/2016,"",,,,"",,1,,03/08/2018,GERGETRB,
310620,783,224073,2902C13FE8931634,3106200022551,515105,S,10202,,03/08/2015,"",,,,"",,1,,03/08/2015,PRPS001144,
310620,783,224073,01EBCA92FDA952F6,3106200022551,515105,S,10202,,03/08/2015,"",,,,"",,1,,03/08/2015,PRPS001144,
310620,783,224073,3C94AB9362473215,3106200022551,515105,S,10202,,03/08/2015,"",,,,"",,1,,03/08/2015,PRPS001144,
310620,783,224073,42019BE0DE17B04B,3106200022551,223565,S,10101,,03/08/2015,"",,,,"",,1,,03/08/2015,PRPS001144,
310620,783,224073,905EC4F5F47B7204,3106200022551,515105,S,10202,,03/08/2015,"",,,,"",,1,,21/09/2016,PRPS001144,
310620,784,224057,0C311C39182F1E0E,3106200022551,225170,S,10301,,18/11/2021,"",,,,"",,1,,01/12/2021,SMSAS,
310620,784,224057,E1EAD3534DE8A2D5,3106200022551,515105,S,10202,,05/11/2009,"",,,,"",,1,,17/03/2015,PRPS001144,
310620,784,224057,EAAFCCE5F408D01C,3106200022551,515105,S,10202,,01/04/2000,"",,,,"",,1,,17/03/2015,PRPS001144,
310620,784,224057,2A9B1B3DD994888D,3106200022551,223565,S,10102,,07/04/2006,"",,,,"",,1,,17/03/2015,PRPS001144,
310620,784,224057,2A9812D39B296121,3106200022551,322250,S,10101,,03/06/2002,"",,,,"",,1,,19/08/2019,SMSAS,
310620,784,224057,74E852A53DFF3E52,3106200022551,515105,S,10202,,01/04/2000,"",,,,"",,1,,17/03/2015,PRPS001144,
310620,783,224073,24A88C8DAB2536C2,3106200022551,322245,S,10301,,01/11/2022,"",,,,"",,1,,21/11/2022,SMSAS,
310620,1,1645331,FE32072463486C3D,3106200022551,223710,S,10101,,10/08/2022,"",,,,"",,1,,17/08/2022,SMSAS,
310620,577,224235,2423A33F04737B4D,3106200022551,225142,S,10101,,01/03/2022,"",,,,"",,1,,03/05/2022,SMSAS,
310620,577,224235,0C15D8B9F2A5A33E,3106200022551,322245,S,10301,,27/12/2022,"",,,,"",,1,,28/12/2022,SMSAS,
310620,577,224235,99D95C331CE1FC7C,3106200022551,223565,S,10301,,01/12/2021,"",,,,"",,1,,17/12/2021,SMSAS,
310620,951,224111,40CA2858CF38397C,3106200022578,223565,S,10301,,31/05/2022,"",,,,"",,1,,13/06/2022,SMSAS,
310620,951,224111,280F880069640F9E,3106200022578,225170,S,10301,,07/02/2022,"",,,,"",,1,,08/02/2022,SMSAS,
310620,1088,224081,8CE84EDA194563E9,3106200022578,322245,S,10301,,20/01/2022,"",,,,"",,1,,09/02/2022,SMSAS,
310620,779,224138,7629646DD9456781,3106200022578,515105,S,10202,,12/08/2021,"",,,,"",,1,,13/08/2021,SMSAS,
310620,2,1781103,EF5AA67FB4D6F980,3106200022578,223293,S,10301,,18/03/2022,23/12/2022,,,,"",,1,,04/01/2023,SMSAS,
310620,779,224138,E2F14BCA0D5513FA,3106200022578,225142,S,10101,,07/12/2020,07/11/2022,,,,"",,1,,01/12/2022,SMSAS,
310620,779,224138,5A81A5F189ABD843,3106200022578,223565,S,10101,,05/10/2022,"",,,,"",,1,,26/10/2022,SMSAS,
310620,2,1781103,EB3AC4D2DFA5CF52,3106200022578,322430,S,10101,,22/05/2020,"",,,,"",,1,,25/05/2020,SMSAS,
310620,1,1781065,A525CEE902C90223,3106200022578,322430,S,10101,,22/05/2020,"",,,,"",,1,,25/05/2020,SMSAS,
310620,1,1781065,63E6CB15E77AAED9,3106200022578,322425,S,10101,,22/05/2020,"",,,,"",,1,,25/05/2020,SMSAS,
310620,1,1781065,061EDB783353D1FD,3106200022578,223293,S,10301,,01/03/2021,"",,,,"",,1,,02/03/2021,SMSAS,
310620,951,224111,1A48601AEAA76D1A,3106200022578,223565,S,10101,,16/07/2019,"",,,,"",,1,,25/07/2019,SMSAS,
310620,951,224111,DAF1A34FB431415B,3106200022578,515105,S,10202,,08/08/2012,"",,,,"",,1,,11/03/2015,PRPS001144,
310620,951,224111,37DBFFDBF0CEE49F,3106200022578,515105,S,10202,,19/03/2013,"",,,,"",,1,,11/03/2015,PRPS001144,
310620,951,224111,03C3DC6AD9B06A5B,3106200022578,515105,S,10202,,27/07/2020,"",,,,"",,1,,03/08/2020,SMSAS,
310620,951,224111,6C44F2B835C590D4,3106200022578,322250,S,10102,,08/08/2012,"",,,,"",,1,,11/03/2015,PRPS001144,
310620,951,224111,52F1264087BF2C45,3106200022578,515105,S,10202,,19/07/2018,"",,,,"",,1,,06/08/2018,GERGETRB,
310620,1088,224081,85528489F51199B4,3106200022578,223565,S,10101,,07/02/2018,"",,,,"",,1,,22/02/2018,GERGETRB,
310620,1088,224081,9B9C51A317A90C4A,3106200022578,225142,S,10101,,07/02/2018,"",,,,"",,1,,22/02/2018,GERGETRB,
310620,1088,224081,14592A3A6E44A382,3106200022578,515105,S,10202,,16/05/2018,"",,,,"",,1,,21/06/2018,GERGETRB,
310620,1088,224081,E05CC34F79BDEAA1,3106200022578,515105,S,10202,,07/02/2018,"",,,,"",,1,,21/08/2018,GERGETRB,
310620,1088,224081,3299F710B5661CE6,3106200022578,515105,S,10202,,07/02/2018,"",,,,"",,1,,06/08/2018,GERGETRB,
310620,778,224103,E833849803E40462,3106200022578,223565,S,10101,,25/09/2017,10/08/2022,,,,"",,1,,17/08/2022,SMSAS,
310620,778,224103,6D22D1FE9FABFDEA,3106200022578,515105,S,10202,,26/03/2012,"",,,,"",,1,,17/07/2019,SMSAS,
310620,778,224103,A53C039C9D215C1F,3106200022578,515105,S,10202,,18/03/2013,"",,,,"",,1,,11/03/2015,PRPS001144,
310620,778,224103,E8DB31CC709A3E96,3106200022578,225142,S,10101,,05/04/2019,"",,,,"",,1,,05/04/2019,SMSAS,
310620,778,224103,9602402A362C2159,3106200022578,515105,S,10202,,26/03/2012,"",,,,"",,1,,11/03/2015,PRPS001144,
310620,778,224103,3450B46488AB5839,3106200022578,322250,S,10101,,27/05/2014,"",,,,"",,1,,24/05/2018,GERGETRB,
310620,778,224103,3936438A4AE8343D,3106200022578,515105,S,10202,,26/03/2012,"",,,,"",,1,,11/03/2015,PRPS001144,
310620,779,224138,DD4BE071C36B79E8,3106200022578,515105,S,10202,,18/07/2018,"",,,,"",,1,,06/08/2018,GERGETRB,
310620,779,224138,358BD864680F91C7,3106200022578,515105,S,10202,,07/06/2019,"",,,,"",,1,,11/06/2019,SMSAS,
